thread_id,customer_text,customer_text_clean,brand_response,brand_response_clean,tweet_id,intent
1000089,"@AmazonHelp requesting a refund for 823588-1453697, item never arrived and it's been 3 weeks.","requesting a refund for 823588-1453697, item never arrived and it's been 3 weeks.","I've checked and your refund for 823588-1453697 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.","I've checked and your refund for 823588-1453697 was issued but may be sitting with your bank. If it's not there in 5 business days, DM us your order details and we'll escalate.",1000089,refund_request
1000007,"Hi AmazonHelp, where is my order #554710-8015764? It was supposed to arrive yesterday.","Hi AmazonHelp, where is my order #554710-8015764? It was supposed to arrive yesterday.","Hi, sorry for the wait! I can see order 554710-8015764 is out for delivery and should arrive by end of day. DM us if it doesn't show up.","Hi, sorry for the wait! I can see order 554710-8015764 is out for delivery and should arrive by end of day. DM us if it doesn't show up.",1000007,order_status
1000157,"@AmazonHelp I can't log into my account, keeps saying 'incorrect password' even after reset.","I can't log into my account, keeps saying 'incorrect password' even after reset.",That sounds frustrating. Can you DM us the email on file (no passwords please) so we can look into the reset delivery issue?,That sounds frustrating. Can you DM us the email on file (no passwords please) so we can look into the reset delivery issue?,1000157,account_access
1000125,"@AmazonHelp how do I return item 407197-9408101, wrong size arrived.","how do I return item 407197-9408101, wrong size arrived.",Sorry about that mix-up. You can start a free return for 407197-9408101 from Your Orders -- happy to send you the direct link if it's not showing.,Sorry about that mix-up. You can start a free return for 407197-9408101 from Your Orders -- happy to send you the direct link if it's not showing.,1000125,return_request
1000115,"@AmazonHelp how do I return item 233209-1462193, wrong size arrived.","how do I return item 233209-1462193, wrong size arrived.",Sorry about that mix-up. You can start a free return for 233209-1462193 from Your Orders -- happy to send you the direct link if it's not showing.,Sorry about that mix-up. You can start a free return for 233209-1462193 from Your Orders -- happy to send you the direct link if it's not showing.,1000115,return_request
1000333,"Shoutout to @AmazonHelp support for sorting out 364025-9862617 in like 10 minutes, appreciate it!","Shoutout to support for sorting out 364025-9862617 in like 10 minutes, appreciate it!","That means a lot, thank you for the kind words! Glad we could sort out 364025-9862617 quickly.","That means a lot, thank you for the kind words! Glad we could sort out 364025-9862617 quickly.",1000333,positive_feedback
1000051,"@AmazonHelp my package 521154-5661367 arrived completely smashed, box was soaking wet too.","my package 521154-5661367 arrived completely smashed, box was soaking wet too.","That's not okay, thank you for letting us know. I've opened an investigation for 521154-5661367 with the carrier and issued a reshipment.","That's not okay, thank you for letting us know. I've opened an investigation for 521154-5661367 with the carrier and issued a reshipment.",1000051,delivery_issue
1000147,"Locked out of my account for two days now, reset emails aren't arriving. Please help.","Locked out of my account for two days now, reset emails aren't arriving. Please help.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.","Sorry for the trouble! Please check your spam folder for the reset email, and make sure you're using the email tied to the account. DM us if it still fails and we'll escalate to account security.",1000147,account_access
1000301,@AmazonHelp does the warranty on 269509-2261153 cover water damage?,does the warranty on 269509-2261153 cover water damage?,"Yes, most items ship internationally with some exceptions -- happy to check 269509-2261153 specifically if you share the product link.","Yes, most items ship internationally with some exceptions -- happy to check 269509-2261153 specifically if you share the product link.",1000301,general_inquiry
1000303,Quick question -- do you ship 330713-8599845-type items internationally?,Quick question -- do you ship 330713-8599845-type items internationally?,"Yes, most items ship internationally with some exceptions -- happy to check 330713-8599845 specifically if you share the product link.","Yes, most items ship internationally with some exceptions -- happy to check 330713-8599845 specifically if you share the product link.",1000303,general_inquiry
